id,nick,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating 2.0,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,awp,ak47,m4a1,usp_silencer,deagle,glock,p250,sg556,mp9,mac10,m4a1_silencer,cz75a,ump45,ssg08,galilar,famas,aug,hegrenade,tec9,mp5sd,fiveseven,hkp2000,mp7,world,bizon,nova,taser,mag7,p90,smokegrenade,decoy,sawedoff,scar20,usp_silencer_off,xm1014,g3sg1,negev,knife,m4a1_silencer_off,revolver,gallil,Rating 1.0,m249,molotov,flashbang,molotov_projectile,incgrenade,zeus
13157,jerry,25782,46.0%,25419,1.01,76.4,4.0,1403,37741,0.68,0.14,0.67,0.10,0.09,1.07,25782,25419,1.01,0.68,17676,K - D diff.,3863,3690,1.05,1.02,73.4%,14.3%,20065,11465,4625,1307,249,30,18535,462,2375,4181,232,61,416,9717,4087,1084,575,838,259,1196,1443,636,1220,746,266,41,482,427,1406,148,359,16,222,21,11,27,3,0,1,0,0,,,0,4,0,12,1,,0,0,0,,,0,0,0,,0,
9260,vice,8668,49.4%,8540,1.01,75.9,3.1,493,12707,0.68,0.14,0.67,0.12,0.11,,8668,8540,1.01,0.68,5944,K - D diff.,1155,1173,0.98,0.97,73.2%,13.4%,6763,3861,1549,437,89,8,6387,88,583,1509,96,19,78,3361,1795,477,112,310,152,7,154,179,395,318,205,10,162,329,338,43,77,20,50,13,16,1,0,0,0,8,9,,,,0,0,0,0,,0,,,,1.00,,,,,,
10463,bten,13293,56.5%,13254,1.00,74.1,3.7,738,19661,0.68,0.12,0.67,0.10,0.11,,13293,13254,1.00,0.68,8975,K - D diff.,1721,1976,0.87,0.94,71.9%,12.4%,10686,5746,2319,746,149,15,9494,144,1141,2353,168,20,114,5368,2624,783,464,492,151,127,140,205,146,315,694,29,117,236,876,103,76,49,42,30,49,1,4,0,0,10,0,,,0,0,0,4,1,0,0,,,,1.00,,,,0,,
7700,robiin,26524,48.2%,26545,1.00,80.3,8.5,1443,38509,0.69,0.18,0.69,0.11,0.10,,26524,26545,1.00,0.69,17973,K - D diff.,3752,4086,0.92,0.98,72.8%,13.9%,20536,11555,4644,1446,299,29,19060,497,1859,4469,629,98,402,10744,5089,1279,642,846,458,219,442,520,2056,553,805,86,220,602,129,398,400,17,197,84,52,32,7,1,26,24,16,0,,1,8,8,0,1,0,0,1,0,,1.00,0,,0,0,0,1
5373,xelos,7652,48.2%,7624,1.00,76.8,5.7,419,11082,0.69,0.15,0.69,0.08,0.08,,7652,7624,1.00,0.69,5167,K - D diff.,963,1094,0.88,0.94,76.1%,13.0%,5915,3273,1409,398,83,4,5199,221,519,1481,162,75,155,2790,554,430,198,274,245,1,39,95,1532,147,159,58,123,131,65,115,117,0,22,45,85,2,62,10,2,48,79,,,0,8,2,0,0,0,0,3,,,1.00,0,,0,0,,
7808,freakazoid,15442,46.7%,15424,1.00,77.9,4.4,868,22265,0.69,0.15,0.69,0.11,0.10,,15442,15424,1.00,0.69,10479,K - D diff.,2353,2611,0.90,1.00,75.0%,15.1%,11786,6701,2794,806,163,15,11236,86,1107,2786,204,52,81,6514,2622,659,235,480,431,377,141,138,998,507,191,4,114,216,395,137,169,26,181,123,295,5,1,1,2,35,315,0,,0,1,0,2,0,0,0,,,,1.00,,0,,,,0
16495,kory,7436,55.1%,7499,0.99,77.5,4.1,397,10589,0.70,0.14,0.71,0.11,0.11,1.07,7436,7499,0.99,0.70,5021,K - D diff.,1339,1359,0.99,1.09,68.9%,17.6%,5568,3175,1381,372,82,11,5247,400,340,1369,79,27,365,2975,1385,412,467,317,63,245,183,109,290,53,46,35,129,109,114,49,38,1,11,6,1,9,0,0,4,6,0,0,,1,0,2,3,0,,0,,,,,0,,,,,
9257,freddieb,20728,52.9%,20548,1.01,77.0,4.2,1135,30119,0.69,0.14,0.68,0.09,0.09,,20728,20548,1.01,0.69,14171,K - D diff.,3160,3144,1.01,1.02,72.9%,14.7%,15948,9094,3848,1006,196,27,15233,561,1134,3537,218,87,475,8642,4015,1061,962,657,223,640,55,210,991,405,806,77,148,228,569,108,149,9,19,58,35,3,0,4,0,35,19,,,1,7,0,23,2,1,0,0,,,0.99,0,0,,0,,
1915,semphis,15472,36.5%,15505,1.00,73.6,3.1,848,21936,0.71,0.14,0.71,0.10,0.10,,15472,15505,1.00,0.71,10488,K - D diff.,2409,2211,1.09,1.05,71.6%,15.8%,11448,6664,2849,818,148,9,6452,4597,799,3415,204,38,4503,3676,1163,674,551,480,623,18,42,218,1089,648,309,85,137,337,32,177,122,13,93,218,189,5,2,0,0,29,26,,,0,9,5,1,0,0,0,,,,0.99,,,,0,0,
7873,dephh,14252,47.6%,14484,0.98,80.6,4.9,768,20106,0.71,0.16,0.72,0.11,0.10,,14252,14484,0.98,0.71,9565,K - D diff.,2501,2493,1.00,1.08,71.1%,17.9%,10541,6003,2633,753,156,20,8804,1444,1339,2456,186,52,1263,5322,2233,515,299,405,237,141,372,443,625,610,492,181,34,174,275,92,164,9,34,192,8,1,0,0,5,39,15,,,1,0,0,0,0,,0,,,,0.99,,,,0,0,1
